ParkCode,LocationType,StationID,month,variable,mean,sd,N,SE,inc.10.4yr,inc.20.4yr,inc.50.4yr,inc.10.8yr,inc.20.8yr,inc.50.8yr,inc.10.12yr,inc.20.12yr,inc.50.12yr
ACAD,Lake,ACBRBK,5,pH,6.584,0.099640734,30,0.018191826,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,pH,6.3948,0.308705262,50,0.043657517,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,7,pH,6.574210526,0.280218366,38,0.045457422,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,pH,6.515294118,0.370112475,34,0.063473766,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,9,pH,6.634,0.214174623,40,0.033863981,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,10,pH,6.556,0.256653013,40,0.040580405,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,PO4_ug/L,2.6,1.445913783,16,0.361478446,0.838,0.884,0.965,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,SO4_ueqL,27.42217949,4.496982665,26,0.88193086,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,SO4_ueqL,20.02135417,3.661778469,18,0.863089462,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,5,Specific conductance,86.66666667,25.90877009,30,4.730272606,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,6,Specific conductance,75.12,40.04112172,50,5.662669739,0.998,0.999,1,1,1,1,1,1,1
ACAD,Lake,ACBRBK,7,Specific conductance,72.94736842,53.78382524,38,8.724888565,0.913,0.945,0.989,1,1,1,1,1,1
ACAD,Lake,ACBRBK,8,Specific conductance,60.23529412,33.00234962,34,5.659856266,0.98,0.991,0.999,1,1,1,1,1,1
ACAD,Lake,ACBRBK,9,Specific conductance,57.05,16.53116715,40,2.613807028,1,1,1,1,1,1,1,1,1
